segment,char_index,char,base_code_pair,base_code,type
07,11,거,90 1D,0x1D90,hangul_base_code
07,12,라,F0 30,0x30F0,hangul_base_code
07,13,고,80 20,0x2080,hangul_base_code
07,14,・,60 12,0x1260,punct_space_base_code
07,15,・,60 12,0x1260,punct_space_base_code
07,16,・,60 12,0x1260,punct_space_base_code
07,END,␃,0F,0x000F,segment_end
08,0,“,80 22,0x2280,quote_basecode_clear_08h
08,1,베,90 3B,0x3B90,hangul_base_code
08,2,니,F0 25,0x25F0,hangul_base_code
08,3,티,D0 E2,0xE2D0,hangul_base_code
08,4,”,90 22,0x2290,quote_basecode_clear_08h
08,5,와,E0 9F,0x9FE0,hangul_base_code
08,6,“,80 22,0x2280,quote_basecode_clear_08h
08,7,베,90 3B,0x3B90,hangul_base_code
08,8,칸,D0 E1,0xE1D0,hangul_base_code
08,9,티,D0 E2,0xE2D0,hangul_base_code
08,10,”,90 22,0x2290,quote_basecode_clear_08h
08,11,의,80 DE,0xDE80,hangul_base_code
08,12,␠,10 12,0x1210,punct_space_base_code
08,13,다,C0 27,0x27C0,hangul_base_code
08,14,툼,E0 E6,0xE6E0,hangul_base_code
08,15,은,40 DE,0xDE40,hangul_base_code
08,16,␠,10 12,0x1210,punct_space_base_code
08,17,인,A0 DE,0xDEA0,hangul_base_code
08,18,간,C0 17,0x17C0,hangul_base_code
08,19,의,80 DE,0xDE80,hangul_base_code
08,20,␠,10 12,0x1210,punct_space_base_code
08,21,역,60 9F,0x9F60,hangul_base_code
08,22,사,E0 3C,0x3CE0,hangul_base_code
08,23,가,A0 17,0x17A0,hangul_base_code
08,24,␠,10 12,0x1210,punct_space_base_code
08,25,태,40 E2,0xE240,hangul_base_code
08,26,동,50 2E,0x2E50,hangul_base_code
08,27,했,C0 E3,0xE3C0,hangul_base_code
08,28,을,50 DE,0xDE50,hangul_base_code
08,29,␠,10 12,0x1210,punct_space_base_code
08,30,때,80 30,0x3080,hangul_base_code
08,31,부,00 3C,0x3C00,hangul_base_code
08,32,터,50 E2,0xE250,hangul_base_code
08,33,␠,10 12,0x1210,punct_space_base_code
08,34,시,C0 3F,0x3FC0,hangul_base_code
08,35,작,10 DF,0xDF10,hangul_base_code
08,36,되,80 2E,0x2E80,hangul_base_code
08,37,었,00 7E,0x7E00,hangul_base_code
08,38,다,C0 27,0x27C0,hangul_base_code
08,39,。,30 12,0x1230,punct_space_base_code
08,END,␃,0F,0x000F,segment_end
09,0,그,50 21,0x2150,hangul_base_code
09,1,리,70 34,0x3470,hangul_base_code
09,2,고,80 20,0x2080,hangul_base_code
09,3,␠,10 12,0x1210,punct_space_base_code
09,4,인,A0 DE,0xDEA0,hangul_base_code
09,5,간,C0 17,0x17C0,hangul_base_code
09,6,의,80 DE,0xDE80,hangul_base_code
09,7,␠,10 12,0x1210,punct_space_base_code
09,8,역,60 9F,0x9F60,hangul_base_code
09,9,사,E0 3C,0x3CE0,hangul_base_code
09,10,가,A0 17,0x17A0,hangul_base_code
09,11,␠,10 12,0x1210,punct_space_base_code
09,12,끝,A0 24,0x24A0,hangul_base_code
09,13,날,D0 24,0x24D0,hangul_base_code
09,14,␠,10 12,0x1210,punct_space_base_code
09,15,때,80 30,0x3080,hangul_base_code
09,16,。,30 12,0x1230,punct_space_base_code
09,END,␃,0F,0x000F,segment_end
10,0,인,A0 DE,0xDEA0,hangul_base_code
10,1,간,C0 17,0x17C0,hangul_base_code
10,2,의,80 DE,0xDE80,hangul_base_code
10,3,␠,10 12,0x1210,punct_space_base_code
10,4,역,60 9F,0x9F60,hangul_base_code
10,5,사,E0 3C,0x3CE0,hangul_base_code
10,6,가,A0 17,0x17A0,hangul_base_code
10,7,␠,10 12,0x1210,punct_space_base_code
10,8,과,B0 20,0x20B0,hangul_base_code
10,9,거,90 1D,0x1D90,hangul_base_code
10,10,가,A0 17,0x17A0,hangul_base_code
10,11,␠,10 12,0x1210,punct_space_base_code
10,12,될,A0 2E,0x2EA0,hangul_base_code
10,13,␠,10 12,0x1210,punct_space_base_code
10,14,때,80 30,0x3080,hangul_base_code
10,15,。,30 12,0x1230,punct_space_base_code
10,END,␃,0F,0x000F,segment_end
11,0,그,50 21,0x2150,hangul_base_code
11,1,␠,10 12,0x1210,punct_space_base_code
11,2,결,40 20,0x2040,hangul_base_code
11,3,의,80 DE,0xDE80,hangul_base_code
11,4,를,50 34,0x3450,hangul_base_code
11,5,␠,10 12,0x1210,punct_space_base_code
11,6,보,B0 3B,0x3BB0,hangul_base_code
11,7,게,00 20,0x2000,hangul_base_code
11,8,␠,10 12,0x1210,punct_space_base_code
11,9,될,A0 2E,0x2EA0,hangul_base_code
11,10,␠,10 12,0x1210,punct_space_base_code
11,11,것,F0 1D,0x1DF0,hangul_base_code
11,12,이,90 DE,0xDE90,hangul_base_code
11,13,다,C0 27,0x27C0,hangul_base_code
11,14,・,60 12,0x1260,punct_space_base_code
11,15,・,60 12,0x1260,punct_space_base_code
11,16,・,60 12,0x1260,punct_space_base_code
11,17,。,30 12,0x1230,punct_space_base_code
11,END,␃,0F,0x000F,segment_end
12,0,␠,10 12,0x1210,punct_space_base_code
12,1,␠,10 12,0x1210,punct_space_base_code
12,2,␠,10 12,0x1210,punct_space_base_code
12,3,␠,10 12,0x1210,punct_space_base_code
12,4,␠,10 12,0x1210,punct_space_base_code
12,5,␠,10 12,0x1210,punct_space_base_code
12,6,■,30 14,0x1430,punct_space_base_code
12,7,␠,10 12,0x1210,punct_space_base_code
12,8,제,F0 E3,0xE3F0,hangul_base_code
12,9,작,10 DF,0xDF10,hangul_base_code
12,10,진,30 E0,0xE030,hangul_base_code
12,11,␠,10 12,0x1210,punct_space_base_code
12,12,■,30 14,0x1430,punct_space_base_code
12,13,␠,10 12,0x1210,punct_space_base_code
12,14,␠,10 12,0x1210,punct_space_base_code
12,15,␠,10 12,0x1210,punct_space_base_code
12,16,␠,10 12,0x1210,punct_space_base_code
12,17,␠,10 12,0x1210,punct_space_base_code
12,18,␠,10 12,0x1210,punct_space_base_code
12,19,␠,10 12,0x1210,punct_space_base_code
12,20,␠,10 12,0x1210,punct_space_base_code
12,21,␠,10 12,0x1210,punct_space_base_code
12,22,␠,10 12,0x1210,punct_space_base_code
12,23,␠,10 12,0x1210,punct_space_base_code
12,24,␠,10 12,0x1210,punct_space_base_code
12,25,␠,10 12,0x1210,punct_space_base_code
12,26,␠,10 12,0x1210,punct_space_base_code
12,27,␠,10 12,0x1210,punct_space_base_code
12,28,␠,10 12,0x1210,punct_space_base_code
12,29,␠,10 12,0x1210,punct_space_base_code
12,30,␠,10 12,0x1210,punct_space_base_code
12,31,␠,10 12,0x1210,punct_space_base_code
12,32,␠,10 12,0x1210,punct_space_base_code
12,33,␠,10 12,0x1210,punct_space_base_code
12,34,␠,10 12,0x1210,punct_space_base_code
12,35,␠,10 12,0x1210,punct_space_base_code
12,36,␠,10 12,0x1210,punct_space_base_code
12,37,␠,10 12,0x1210,punct_space_base_code
12,38,␠,10 12,0x1210,punct_space_base_code
12,39,␠,10 12,0x1210,punct_space_base_code
12,40,␠,10 12,0x1210,punct_space_base_code
12,41,기,B0 21,0x21B0,hangul_base_code
12,42,획,20 E7,0xE720,hangul_base_code
12,43,␠,10 12,0x1210,punct_space_base_code
12,44,␠,10 12,0x1210,punct_space_base_code
12,45,␠,10 12,0x1210,punct_space_base_code
12,46,␠,10 12,0x1210,punct_space_base_code
12,47,␠,10 12,0x1210,punct_space_base_code
12,48,W,70 27,0x2770,original_audit_base_code
12,49,O,F0 26,0x26F0,original_audit_base_code
12,50,L,C0 26,0x26C0,original_audit_base_code
12,51,F,60 26,0x2660,original_audit_base_code
12,52,␠,10 12,0x1210,punct_space_base_code
12,53,T,40 27,0x2740,original_audit_base_code
12,54,E,50 26,0x2650,original_audit_base_code
12,55,A,10 26,0x2610,original_audit_base_code
12,56,M,D0 26,0x26D0,original_audit_base_code
12,57,␠,10 12,0x1210,punct_space_base_code
12,58,␠,10 12,0x1210,punct_space_base_code
12,59,␠,10 12,0x1210,punct_space_base_code
12,60,␠,10 12,0x1210,punct_space_base_code
12,61,␠,10 12,0x1210,punct_space_base_code
12,62,␠,10 12,0x1210,punct_space_base_code
12,63,␠,10 12,0x1210,punct_space_base_code
12,64,␠,10 12,0x1210,punct_space_base_code
12,65,␠,10 12,0x1210,punct_space_base_code
12,66,␠,10 12,0x1210,punct_space_base_code
12,67,␠,10 12,0x1210,punct_space_base_code
12,68,␠,10 12,0x1210,punct_space_base_code
12,69,␠,10 12,0x1210,punct_space_base_code
12,70,␠,10 12,0x1210,punct_space_base_code
12,71,␠,10 12,0x1210,punct_space_base_code
12,72,␠,10 12,0x1210,punct_space_base_code
12,73,␠,10 12,0x1210,punct_space_base_code
12,74,␠,10 12,0x1210,punct_space_base_code
12,75,␠,10 12,0x1210,punct_space_base_code
12,76,␠,10 12,0x1210,punct_space_base_code
12,77,␠,10 12,0x1210,punct_space_base_code
12,78,␠,10 12,0x1210,punct_space_base_code
12,79,␠,10 12,0x1210,punct_space_base_code
12,80,␠,10 12,0x1210,punct_space_base_code
12,81,원,F0 D9,0xD9F0,hangul_base_code
12,82,작,10 DF,0xDF10,hangul_base_code
12,83,␠,10 12,0x1210,punct_space_base_code
12,84,␠,10 12,0x1210,punct_space_base_code
12,85,␠,10 12,0x1210,punct_space_base_code
12,86,␠,10 12,0x1210,punct_space_base_code
12,87,␠,10 12,0x1210,punct_space_base_code
12,88,하,50 E3,0xE350,hangul_base_code
12,89,야,00 6C,0x6C00,hangul_base_code
12,90,시,C0 3F,0x3FC0,hangul_base_code
12,91,␠,10 12,0x1210,punct_space_base_code
12,92,␠,10 12,0x1210,punct_space_base_code
12,93,히,60 E5,0xE560,hangul_base_code
12,94,로,D0 31,0x31D0,hangul_base_code
12,95,키,A0 E6,0xE6A0,hangul_base_code
12,96,␠,10 12,0x1210,punct_space_base_code
12,97,␠,10 12,0x1210,punct_space_base_code
12,98,␠,10 12,0x1210,punct_space_base_code
12,99,␠,10 12,0x1210,punct_space_base_code
12,100,␠,10 12,0x1210,punct_space_base_code
12,101,␠,10 12,0x1210,punct_space_base_code
12,102,␠,10 12,0x1210,punct_space_base_code
12,103,␠,10 12,0x1210,punct_space_base_code
12,104,␠,10 12,0x1210,punct_space_base_code
12,105,␠,10 12,0x1210,punct_space_base_code
12,106,␠,10 12,0x1210,punct_space_base_code
12,107,␠,10 12,0x1210,punct_space_base_code
12,108,␠,10 12,0x1210,punct_space_base_code
12,109,␠,10 12,0x1210,punct_space_base_code
12,110,␠,10 12,0x1210,punct_space_base_code
12,111,␠,10 12,0x1210,punct_space_base_code
12,112,␠,10 12,0x1210,punct_space_base_code
12,113,␠,10 12,0x1210,punct_space_base_code
12,114,␠,10 12,0x1210,punct_space_base_code
12,115,␠,10 12,0x1210,punct_space_base_code
12,116,␠,10 12,0x1210,punct_space_base_code
12,117,␠,10 12,0x1210,punct_space_base_code
12,118,␠,10 12,0x1210,punct_space_base_code
12,119,␠,10 12,0x1210,punct_space_base_code
12,120,␠,10 12,0x1210,punct_space_base_code
12,121,시,C0 3F,0x3FC0,hangul_base_code
12,122,나,B0 24,0x24B0,hangul_base_code
12,123,리,70 34,0x3470,hangul_base_code
12,124,오,B0 9F,0x9FB0,hangul_base_code
12,125,␠,10 12,0x1210,punct_space_base_code
12,126,␠,10 12,0x1210,punct_space_base_code
12,127,␠,10 12,0x1210,punct_space_base_code
12,128,하,50 E3,0xE350,hangul_base_code
12,129,야,00 6C,0x6C00,hangul_base_code
12,130,시,C0 3F,0x3FC0,hangul_base_code
12,131,␠,10 12,0x1210,punct_space_base_code
12,132,␠,10 12,0x1210,punct_space_base_code
12,133,히,60 E5,0xE560,hangul_base_code
12,134,로,D0 31,0x31D0,hangul_base_code
12,135,키,A0 E6,0xE6A0,hangul_base_code
12,136,␠,10 12,0x1210,punct_space_base_code
12,137,␠,10 12,0x1210,punct_space_base_code
12,138,␠,10 12,0x1210,punct_space_base_code
12,139,␠,10 12,0x1210,punct_space_base_code
12,140,␠,10 12,0x1210,punct_space_base_code
12,141,␠,10 12,0x1210,punct_space_base_code
12,142,␠,10 12,0x1210,punct_space_base_code
12,143,␠,10 12,0x1210,punct_space_base_code
12,144,␠,10 12,0x1210,punct_space_base_code
12,145,␠,10 12,0x1210,punct_space_base_code
12,146,␠,10 12,0x1210,punct_space_base_code
12,147,␠,10 12,0x1210,punct_space_base_code
12,148,미,50 39,0x3950,hangul_base_code
12,149,츠,70 E6,0xE670,hangul_base_code
12,150,하,50 E3,0xE350,hangul_base_code
12,151,시,C0 3F,0x3FC0,hangul_base_code
12,152,␠,10 12,0x1210,punct_space_base_code
12,153,유,20 DE,0xDE20,hangul_base_code
12,154,키,A0 E6,0xE6A0,hangul_base_code
12,155,오,B0 9F,0x9FB0,hangul_base_code
12,156,␠,10 12,0x1210,punct_space_base_code
12,157,␠,10 12,0x1210,punct_space_base_code
12,158,␠,10 12,0x1210,punct_space_base_code
12,159,␠,10 12,0x1210,punct_space_base_code
12,160,␠,10 12,0x1210,punct_space_base_code
12,161,␠,10 12,0x1210,punct_space_base_code
12,162,␠,10 12,0x1210,punct_space_base_code
12,163,␠,10 12,0x1210,punct_space_base_code
12,164,␠,10 12,0x1210,punct_space_base_code
12,165,␠,10 12,0x1210,punct_space_base_code
12,166,␠,10 12,0x1210,punct_space_base_code
12,167,␠,10 12,0x1210,punct_space_base_code
12,168,␠,10 12,0x1210,punct_space_base_code
12,169,␠,10 12,0x1210,punct_space_base_code
12,170,␠,10 12,0x1210,punct_space_base_code
12,171,␠,10 12,0x1210,punct_space_base_code
12,172,␠,10 12,0x1210,punct_space_base_code
12,173,␠,10 12,0x1210,punct_space_base_code
12,174,␠,10 12,0x1210,punct_space_base_code
12,175,␠,10 12,0x1210,punct_space_base_code
12,176,␠,10 12,0x1210,punct_space_base_code
12,177,␠,10 12,0x1210,punct_space_base_code
12,178,␠,10 12,0x1210,punct_space_base_code
12,179,␠,10 12,0x1210,punct_space_base_code
12,180,␠,10 12,0x1210,punct_space_base_code
12,181,시,C0 3F,0x3FC0,hangul_base_code
12,182,나,B0 24,0x24B0,hangul_base_code
12,183,리,70 34,0x3470,hangul_base_code
12,184,오,B0 9F,0x9FB0,hangul_base_code
12,185,협,10 E7,0xE710,hangul_base_code
12,186,력,E0 E5,0xE5E0,hangul_base_code
12,187,␠,10 12,0x1210,punct_space_base_code
12,188,아,00 56,0x5600,hangul_base_code
12,189,키,A0 E6,0xE6A0,hangul_base_code
12,190,시,C0 3F,0x3FC0,hangul_base_code
12,191,노,C0 E5,0xE5C0,hangul_base_code
12,192,␠,10 12,0x1210,punct_space_base_code
12,193,마,B0 34,0x34B0,hangul_base_code
12,194,사,E0 3C,0x3CE0,hangul_base_code
12,195,히,60 E5,0xE560,hangul_base_code
12,196,로,D0 31,0x31D0,hangul_base_code
12,197,␠,10 12,0x1210,punct_space_base_code
12,198,␠,10 12,0x1210,punct_space_base_code
12,199,␠,10 12,0x1210,punct_space_base_code
12,END,␃,0F,0x000F,segment_end
13,0,␠,10 12,0x1210,punct_space_base_code
13,1,␠,10 12,0x1210,punct_space_base_code
13,2,␠,10 12,0x1210,punct_space_base_code
13,3,␠,10 12,0x1210,punct_space_base_code
13,4,␠,10 12,0x1210,punct_space_base_code
13,5,■,30 14,0x1430,punct_space_base_code
13,6,␠,10 12,0x1210,punct_space_base_code
13,7,프,10 E3,0xE310,hangul_base_code
13,8,로,D0 31,0x31D0,hangul_base_code
13,9,그,50 21,0x2150,hangul_base_code
13,10,래,30 31,0x3130,hangul_base_code
13,11,머,10 E6,0xE610,hangul_base_code
13,12,␠,10 12,0x1210,punct_space_base_code
13,13,■,30 14,0x1430,punct_space_base_code
13,14,␠,10 12,0x1210,punct_space_base_code
13,15,␠,10 12,0x1210,punct_space_base_code
13,16,␠,10 12,0x1210,punct_space_base_code
13,17,␠,10 12,0x1210,punct_space_base_code
13,18,␠,10 12,0x1210,punct_space_base_code
13,19,␠,10 12,0x1210,punct_space_base_code
13,20,␠,10 12,0x1210,punct_space_base_code
13,21,␠,10 12,0x1210,punct_space_base_code
13,22,␠,10 12,0x1210,punct_space_base_code
13,23,␠,10 12,0x1210,punct_space_base_code
13,24,␠,10 12,0x1210,punct_space_base_code
13,25,␠,10 12,0x1210,punct_space_base_code
13,26,␠,10 12,0x1210,punct_space_base_code
13,27,␠,10 12,0x1210,punct_space_base_code
13,28,␠,10 12,0x1210,punct_space_base_code
13,29,␠,10 12,0x1210,punct_space_base_code
13,30,␠,10 12,0x1210,punct_space_base_code
13,31,␠,10 12,0x1210,punct_space_base_code
13,32,␠,10 12,0x1210,punct_space_base_code
13,33,␠,10 12,0x1210,punct_space_base_code
13,34,␠,10 12,0x1210,punct_space_base_code
13,35,␠,10 12,0x1210,punct_space_base_code
13,36,␠,10 12,0x1210,punct_space_base_code
13,37,␠,10 12,0x1210,punct_space_base_code
13,38,␠,10 12,0x1210,punct_space_base_code
13,39,␠,10 12,0x1210,punct_space_base_code
13,40,␠,10 12,0x1210,punct_space_base_code
13,41,메,20 E6,0xE620,hangul_base_code
13,42,인,A0 DE,0xDEA0,hangul_base_code
13,43,␠,10 12,0x1210,punct_space_base_code
13,44,␠,10 12,0x1210,punct_space_base_code
13,45,␠,10 12,0x1210,punct_space_base_code
13,46,␠,10 12,0x1210,punct_space_base_code
13,47,␠,10 12,0x1210,punct_space_base_code
13,48,아,00 56,0x5600,hangul_base_code
13,49,키,A0 E6,0xE6A0,hangul_base_code
13,50,시,C0 3F,0x3FC0,hangul_base_code
13,51,노,C0 E5,0xE5C0,hangul_base_code
13,52,␠,10 12,0x1210,punct_space_base_code
13,53,마,B0 34,0x34B0,hangul_base_code
13,54,사,E0 3C,0x3CE0,hangul_base_code
13,55,히,60 E5,0xE560,hangul_base_code
13,56,로,D0 31,0x31D0,hangul_base_code
13,57,␠,10 12,0x1210,punct_space_base_code
13,58,␠,10 12,0x1210,punct_space_base_code
13,59,␠,10 12,0x1210,punct_space_base_code
13,60,␠,10 12,0x1210,punct_space_base_code
13,61,서,50 3D,0x3D50,hangul_base_code
13,62,브,30 E6,0xE630,hangul_base_code
13,63,␠,10 12,0x1210,punct_space_base_code
13,64,␠,10 12,0x1210,punct_space_base_code
13,65,␠,10 12,0x1210,punct_space_base_code
13,66,␠,10 12,0x1210,punct_space_base_code
13,67,␠,10 12,0x1210,punct_space_base_code
13,68,하,50 E3,0xE350,hangul_base_code
13,69,나,B0 24,0x24B0,hangul_base_code
13,70,와,E0 9F,0x9FE0,hangul_base_code
13,71,␠,10 12,0x1210,punct_space_base_code
13,72,␠,10 12,0x1210,punct_space_base_code
13,73,카,80 E6,0xE680,hangul_base_code
13,74,츠,70 E6,0xE670,hangul_base_code
13,75,␠,10 12,0x1210,punct_space_base_code
13,76,␠,10 12,0x1210,punct_space_base_code
13,77,␠,10 12,0x1210,punct_space_base_code
13,78,␠,10 12,0x1210,punct_space_base_code
13,79,␠,10 12,0x1210,punct_space_base_code
13,80,␠,10 12,0x1210,punct_space_base_code
13,81,협,10 E7,0xE710,hangul_base_code
13,82,력,E0 E5,0xE5E0,hangul_base_code
13,83,␠,10 12,0x1210,punct_space_base_code
13,84,␠,10 12,0x1210,punct_space_base_code
13,85,␠,10 12,0x1210,punct_space_base_code
13,86,␠,10 12,0x1210,punct_space_base_code
13,87,␠,10 12,0x1210,punct_space_base_code
13,88,야,00 6C,0x6C00,hangul_base_code
13,89,마,B0 34,0x34B0,hangul_base_code
13,90,모,A0 35,0x35A0,hangul_base_code
13,91,토,D0 E6,0xE6D0,hangul_base_code
13,92,␠,10 12,0x1210,punct_space_base_code
13,93,키,A0 E6,0xE6A0,hangul_base_code
13,94,타,20 E2,0xE220,hangul_base_code
13,95,야,00 6C,0x6C00,hangul_base_code
13,96,마,B0 34,0x34B0,hangul_base_code
13,97,␠,10 12,0x1210,punct_space_base_code
13,98,␠,10 12,0x1210,punct_space_base_code
13,99,␠,10 12,0x1210,punct_space_base_code
13,100,␠,10 12,0x1210,punct_space_base_code
13,101,␠,10 12,0x1210,punct_space_base_code
13,102,␠,10 12,0x1210,punct_space_base_code
13,103,␠,10 12,0x1210,punct_space_base_code
13,104,␠,10 12,0x1210,punct_space_base_code
13,105,␠,10 12,0x1210,punct_space_base_code
13,106,␠,10 12,0x1210,punct_space_base_code
13,107,␠,10 12,0x1210,punct_space_base_code
13,108,아,00 56,0x5600,hangul_base_code
13,109,나,B0 24,0x24B0,hangul_base_code
13,110,자,00 DF,0xDF00,hangul_base_code
13,111,와,E0 9F,0x9FE0,hangul_base_code
13,112,␠,10 12,0x1210,punct_space_base_code
13,113,토,D0 E6,0xE6D0,hangul_base_code
13,114,모,A0 35,0x35A0,hangul_base_code
13,115,키,A0 E6,0xE6A0,hangul_base_code
13,116,␠,10 12,0x1210,punct_space_base_code
13,117,␠,10 12,0x1210,punct_space_base_code
13,118,␠,10 12,0x1210,punct_space_base_code
13,119,␠,10 12,0x1210,punct_space_base_code
13,120,␠,10 12,0x1210,punct_space_base_code
13,121,␠,10 12,0x1210,punct_space_base_code
13,122,␠,10 12,0x1210,punct_space_base_code
13,123,␠,10 12,0x1210,punct_space_base_code
13,124,␠,10 12,0x1210,punct_space_base_code
13,125,␠,10 12,0x1210,punct_space_base_code
13,126,␠,10 12,0x1210,punct_space_base_code
13,127,␠,10 12,0x1210,punct_space_base_code
13,128,사,E0 3C,0x3CE0,hangul_base_code
13,129,토,D0 E6,0xE6D0,hangul_base_code
13,130,␠,10 12,0x1210,punct_space_base_code
13,131,␠,10 12,0x1210,punct_space_base_code
13,132,␠,10 12,0x1210,punct_space_base_code
13,133,오,B0 9F,0x9FB0,hangul_base_code
13,134,사,E0 3C,0x3CE0,hangul_base_code
13,135,무,00 36,0x3600,hangul_base_code
13,136,␠,10 12,0x1210,punct_space_base_code
13,137,␠,10 12,0x1210,punct_space_base_code
13,138,␠,10 12,0x1210,punct_space_base_code
13,139,␠,10 12,0x1210,punct_space_base_code
13,140,␠,10 12,0x1210,punct_space_base_code
13,141,␠,10 12,0x1210,punct_space_base_code
13,142,␠,10 12,0x1210,punct_space_base_code
13,143,␠,10 12,0x1210,punct_space_base_code
13,144,␠,10 12,0x1210,punct_space_base_code
13,145,␠,10 12,0x1210,punct_space_base_code
13,146,␠,10 12,0x1210,punct_space_base_code
