작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,빨강색보존,메모
48,제어,0x96F1,0x96F3,,,19 00 7E,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96F1→0x96F4. 제어토큰 기존 바이트 유지.
49,제어,0x96F4,0x96F5,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96F4→0x96F6. 제어토큰 기존 바이트 유지.
50,제어,0x96F6,0x96F7,,,17 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96F6→0x96F8. 제어토큰 기존 바이트 유지.
51,제어,0x96F8,0x96FA,,,1A 00 04,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96F8→0x96FB. 제어토큰 기존 바이트 유지.
52,제어,0x96FB,0x96FF,,,14 00 00 40 80,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x96FB→0x9700. 제어토큰 기존 바이트 유지.
53,제어,0x9700,0x9701,,,16 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9700→0x9702. 제어토큰 기존 바이트 유지.
54,문자,0x9702,0x9703,36,또,C0 30,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
55,문자,0x9704,0x9705,37,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
56,문자,0x9706,0x9707,38,삐,D0 3C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
57,문자,0x9708,0x9709,39,딱,50 30,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
58,문자,0x970A,0x970B,40,한,70 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
59,문자,0x970C,0x970D,41,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
60,문자,0x970E,0x970F,42,소,D0 3D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
61,문자,0x9710,0x9711,43,리,70 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
62,문자,0x9712,0x9713,44,나,B0 24,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
63,문자,0x9714,0x9715,45,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
64,문자,0x9716,0x9717,46,하,50 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
65,문자,0x9718,0x9719,47,고,80 20,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
66,문자,0x971A,0x971B,48,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
67,문자,0x971C,0x971D,49,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
68,문자,0x971E,0x971F,50,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
69,제어,0x9720,0x9724,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9720→0x9725. 제어토큰 기존 바이트 유지.
70,문자,0x9725,0x9726,51,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
71,문자,0x9727,0x9728,52,꼰,30 24,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
72,문자,0x9729,0x972A,53,대,B0 2D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
73,문자,0x972B,0x972C,54,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
74,문자,0x972D,0x972E,55,같,00 1C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
75,문자,0x972F,0x9730,56,아,00 56,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
76,문자,0x9731,0x9732,57,！,A0 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
77,문자,0x9733,0x9734,58,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
78,문자,0x9735,0x9736,59,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
79,문자,0x9737,0x9738,60,렇,90 31,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
80,문자,0x9739,0x973A,61,게,00 20,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
81,문자,0x973B,0x973C,62,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
82,문자,0x973D,0x973E,63,심,00 40,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
83,문자,0x973F,0x9740,64,하,50 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
84,문자,0x9741,0x9742,65,게,00 20,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
85,문자,0x9743,0x9744,66,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
86,문자,0x9745,0x9746,67,다,C0 27,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
87,문자,0x9747,0x9748,68,쳤,50 E1,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
88,문자,0x9749,0x974A,69,으,30 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
89,문자,0x974B,0x974C,70,면,70 35,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
90,문자,0x974D,0x974E,71,서,50 3D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
91,문자,0x974F,0x9750,72,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
92,문자,0x9751,0x9752,73,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
93,문자,0x9753,0x9754,74,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
94,제어,0x9755,0x9756,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9755→0x9757. 제어토큰 기존 바이트 유지.
95,문자,0x9757,0x9758,75,대,B0 2D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
96,문자,0x9759,0x975A,76,답,00 2C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
97,문자,0x975B,0x975C,77,해,B0 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
98,문자,0x975D,0x975E,78,줘,F0 FD,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
99,문자,0x975F,0x9760,79,、,20 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
100,문자,0x9761,0x9762,80,레,A0 31,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
101,문자,0x9763,0x9764,81,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
102,문자,0x9765,0x9766,82,코,10 E2,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
103,문자,0x9767,0x9768,83,、,20 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
104,제어,0x9769,0x976D,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9769→0x976E. 제어토큰 기존 바이트 유지.
105,문자,0x976E,0x976F,84,왜,F0 C5,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
106,문자,0x9770,0x9771,85,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
107,문자,0x9772,0x9773,86,우,F0 CD,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
108,문자,0x9774,0x9775,87,리,70 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
109,문자,0x9776,0x9777,88,가,A0 17,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
110,문자,0x9778,0x9779,89,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
111,문자,0x977A,0x977B,90,서,50 3D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
112,문자,0x977C,0x977D,91,로,D0 31,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
113,문자,0x977E,0x977F,92,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
114,문자,0x9780,0x9781,93,싸,00 46,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
115,문자,0x9782,0x9783,94,워,F0 D7,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
116,문자,0x9784,0x9785,95,야,00 6C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
117,문자,0x9786,0x9787,96,만,D0 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
118,문자,0x9788,0x9789,97,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
119,문자,0x978A,0x978B,98,하,50 E3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
120,문자,0x978C,0x978D,99,는,E0 25,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
121,문자,0x978E,0x978F,100,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
122,문자,0x9790,0x9791,101,거,90 1D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
123,문자,0x9792,0x9793,102,야,00 6C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
124,문자,0x9794,0x9795,103,？,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
125,제어,0x9796,0x979A,,,12 00 23 21 00,5,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x9796→0x979B. 제어토큰 기존 바이트 유지.
126,문자,0x979B,0x979C,104,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
127,문자,0x979D,0x979E,105,어,00 70,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
128,문자,0x979F,0x97A0,106,째,80 E0,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
129,문자,0x97A1,0x97A2,107,서,50 3D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
130,문자,0x97A3,0x97A4,108,！,A0 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
131,문자,0x97A5,0x97A6,109,？,90 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
132,제어,0x97A7,0x97A9,,,19 00 7D,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x97A7→0x97AA. 제어토큰 기존 바이트 유지.
133,제어,0x97AA,0x97AB,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x97AA→0x97AC. 제어토큰 기존 바이트 유지.
134,제어,0x97AC,0x97AD,,,17 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x97AC→0x97AE. 제어토큰 기존 바이트 유지.
135,제어,0x97AE,0x97B0,,,1A 00 04,3,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x97AE→0x97B1. 제어토큰 기존 바이트 유지.
136,제어,0x97B1,0x97B2,,,16 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x97B1→0x97B3. 제어토큰 기존 바이트 유지.
137,문자,0x97B3,0x97B4,110,소,D0 3D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
138,문자,0x97B5,0x97B6,111,리,70 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
139,문자,0x97B7,0x97B8,112,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
140,문자,0x97B9,0x97BA,113,지,10 E0,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
141,문자,0x97BB,0x97BC,114,르,30 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
142,문자,0x97BD,0x97BE,115,지,10 E0,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
143,문자,0x97BF,0x97C0,116,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
144,문자,0x97C1,0x97C2,117,마,B0 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
145,문자,0x97C3,0x97C4,118,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
146,문자,0x97C5,0x97C6,119,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
147,문자,0x97C7,0x97C8,120,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
148,제어,0x97C9,0x97CC,,,12 00 23 00,4,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x97C9→0x97CD. 제어토큰 기존 바이트 유지.
149,문자,0x97CD,0x97CE,121,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
150,문자,0x97CF,0x97D0,122,상,20 3D,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
151,문자,0x97D1,0x97D2,123,처,00 E1,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
152,문자,0x97D3,0x97D4,124,가,A0 17,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
153,문자,0x97D5,0x97D6,125,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
154,문자,0x97D7,0x97D8,126,울,F0 D3,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
155,문자,0x97D9,0x97DA,127,리,70 34,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
156,문자,0x97DB,0x97DC,128,잖,30 DF,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
157,문자,0x97DD,0x97DE,129,아,00 56,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
158,문자,0x97DF,0x97E0,130,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
159,문자,0x97E1,0x97E2,131,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
160,문자,0x97E3,0x97E4,132,・,60 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: PC-88 문장부호 토큰.
161,제어,0x97E5,0x97E6,,,15 00,2,fce4d6,N,행 추가/삭제 반영 재계산: HL=0x97E5→0x97E7. 제어토큰 기존 바이트 유지.
162,문자,0x97E7,0x97E8,133,너,50 25,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
163,문자,0x97E9,0x97EA,134,와,E0 9F,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
164,문자,0x97EB,0x97EC,135,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
165,문자,0x97ED,0x97EE,136,나,B0 24,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
166,문자,0x97EF,0x97F0,137,는,E0 25,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
167,문자,0x97F1,0x97F2,138,␠,18 12,2,e2f0d9,N,행 추가/삭제 반영 재계산: 전각 공백 토큰 18 12.
168,문자,0x97F3,0x97F4,139,적,A0 DF,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
169,문자,0x97F5,0x97F6,140,이,90 DE,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
170,문자,0x97F7,0x97F8,141,야,00 6C,2,e9ae2b,N,"행 추가/삭제 반영 재계산: 주황색 대화체 발화용 문자행, 패치 KANJI1 발화체 토큰."
