작업순번,구분,주소시작,주소끝,슬롯,문자열,바이트,길이,색상,메모
30,문자,0x96CC,0x96CD,20,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
31,문자,0x96CE,0x96CF,21,네,90 25,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
32,문자,0x96D0,0x96D1,22,가,A0 17,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
33,문자,0x96D2,0x96D3,23,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
34,문자,0x96D4,0x96D5,24,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
35,문자,0x96D6,0x96D7,25,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
36,문자,0x96D8,0x96D9,26,!,A0 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
37,제어,0x96DA,0x96DC,,,19 00 7A,3,fce4d6,한글 재배치 기준 HL=0x96DA→0x96DD. 제어토큰 유지.
38,제어,0x96DD,0x96DE,,,15 00,2,fce4d6,한글 재배치 기준 HL=0x96DD→0x96DF. 제어토큰 유지.
39,제어,0x96DF,0x96E0,,,17 00,2,fce4d6,한글 재배치 기준 HL=0x96DF→0x96E1. 제어토큰 유지.
40,제어,0x96E1,0x96E3,,,1A 00 04,3,fce4d6,한글 재배치 기준 HL=0x96E1→0x96E4. 제어토큰 유지.
41,제어,0x96E4,0x96E9,,,14 00 01 50 40 80,6,fce4d6,한글 재배치 기준 HL=0x96E4→0x96EA. 제어토큰 유지.
42,제어,0x96EA,0x96EB,,,16 00,2,fce4d6,한글 재배치 기준 HL=0x96EA→0x96EC. 제어토큰 유지.
43,문자,0x96EC,0x96ED,27,말,F0 34,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
44,제어,0x96EE,0x96F1,,,12 00 23 00,4,fce4d6,한글 재배치 기준 HL=0x96EE→0x96F2. 제어토큰 유지.
45,문자,0x96F2,0x96F3,28,했,C0 E3,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
46,문자,0x96F4,0x96F5,29,잖,30 DF,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
47,문자,0x96F6,0x96F7,30,아,00 56,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
48,제어,0x96F8,0x96FB,,,12 00 21 00,4,fce4d6,한글 재배치 기준 HL=0x96F8→0x96FC. 제어토큰 유지.
49,문자,0x96FC,0x96FD,31,？,90 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
50,문자,0x96FE,0x96FF,32,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
51,문자,0x9700,0x9701,33,어,00 70,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
52,문자,0x9702,0x9703,34,디,20 30,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
53,문자,0x9704,0x9705,35,선,70 3D,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
54,문자,0x9706,0x9707,36,가,A0 17,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
55,문자,0x9708,0x9709,37,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
56,문자,0x970A,0x970B,38,우,F0 CD,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
57,문자,0x970C,0x970D,39,연,70 9F,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
58,문자,0x970E,0x970F,40,히,60 E5,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
59,문자,0x9710,0x9711,41,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
60,문자,0x9712,0x9713,42,마,B0 34,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
61,문자,0x9714,0x9715,43,주,F0 F5,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
62,문자,0x9716,0x9717,44,치,A0 E1,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
63,문자,0x9718,0x9719,45,게,00 20,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
64,문자,0x971A,0x971B,46,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
65,문자,0x971C,0x971D,47,될,A0 2E,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
66,문자,0x971E,0x971F,48,지,10 E0,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
67,문자,0x9720,0x9721,49,도,20 2E,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
68,문자,0x9722,0x9723,50,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
69,문자,0x9724,0x9725,51,모,A0 35,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
70,문자,0x9726,0x9727,52,른,40 34,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
71,문자,0x9728,0x9729,53,다,C0 27,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
72,문자,0x972A,0x972B,54,고,80 20,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
73,문자,0x972C,0x972D,55,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
74,문자,0x972E,0x972F,56,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
75,문자,0x9730,0x9731,57,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
76,제어,0x9732,0x9733,,,15 00,2,fce4d6,한글 재배치 기준 HL=0x9732→0x9734. 제어토큰 유지.
77,문자,0x9734,0x9735,58,참,D0 E0,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
78,문자,0x9736,0x9737,59,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
79,문자,0x9738,0x9739,60,잘,40 DF,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
80,문자,0x973A,0x973B,61,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
81,문자,0x973C,0x973D,62,어,00 70,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
82,문자,0x973E,0x973F,63,울,F0 D3,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
83,문자,0x9740,0x9741,64,리,70 34,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
84,문자,0x9742,0x9743,65,네,90 25,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
85,제어,0x9744,0x9748,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=0x9744→0x9749. 제어토큰 유지.
86,문자,0x9749,0x974A,66,。,30 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
87,문자,0x974B,0x974C,67,정,F0 DF,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
88,문자,0x974D,0x974E,68,말,F0 34,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
89,문자,0x974F,0x9750,69,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
90,문자,0x9751,0x9752,70,예,A0 9F,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
91,문자,0x9753,0x9754,71,뻐,70 3C,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
92,문자,0x9755,0x9756,72,、,20 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
93,문자,0x9757,0x9758,73,유,20 DE,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
94,문자,0x9759,0x975A,74,코,10 E2,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
95,문자,0x975B,0x975C,75,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
96,문자,0x975D,0x975E,76,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
97,문자,0x975F,0x9760,77,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
98,문자,0x9761,0x9762,78,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
99,문자,0x9763,0x9764,79,네,90 25,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
100,제어,0x9765,0x9769,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=0x9765→0x976A. 제어토큰 유지.
101,문자,0x976A,0x976B,80,가,A0 17,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
102,문자,0x976C,0x976D,81,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
103,문자,0x976E,0x976F,82,베,90 3B,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
104,문자,0x9770,0x9771,83,니,F0 25,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
105,문자,0x9772,0x9773,84,티,D0 E2,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
106,문자,0x9774,0x9775,85,의,80 DE,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
107,문자,0x9776,0x9777,86,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
108,문자,0x9778,0x9779,87,전,B0 DF,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
109,문자,0x977A,0x977B,88,사,E0 3C,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
110,문자,0x977C,0x977D,89,가,A0 17,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
111,문자,0x977E,0x977F,90,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
112,문자,0x9780,0x9781,91,되,80 2E,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
113,문자,0x9782,0x9783,92,리,70 34,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
114,문자,0x9784,0x9785,93,라,F0 30,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
115,문자,0x9786,0x9787,94,는,E0 25,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
116,문자,0x9788,0x9789,95,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
117,문자,0x978A,0x978B,96,건,B0 1D,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
118,문자,0x978C,0x978D,97,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
119,문자,0x978E,0x978F,98,알,00 60,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
120,문자,0x9790,0x9791,99,고,80 20,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
121,문자,0x9792,0x9793,100,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
122,문자,0x9794,0x9795,101,있,F0 DE,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
123,문자,0x9796,0x9797,102,었,00 7E,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
124,문자,0x9798,0x9799,103,지,10 E0,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
125,문자,0x979A,0x979B,104,만,D0 34,2,e9ae2b,주황색 대화체 발화용 문자행: 새 발화행 색상 기준으로 패치 KANJI1 발화체 토큰 반영.
126,문자,0x979C,0x979D,105,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
127,문자,0x979E,0x979F,106,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
128,문자,0x97A0,0x97A1,107,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
129,제어,0x97A2,0x97A5,,,12 00 23 00,4,fce4d6,한글 재배치 기준 HL=0x97A2→0x97A6. 제어토큰 유지.
130,제어,0x97A6,0x97A8,,,19 00 79,3,fce4d6,한글 재배치 기준 HL=0x97A6→0x97A9. 제어토큰 유지.
131,제어,0x97A9,0x97AA,,,15 00,2,fce4d6,한글 재배치 기준 HL=0x97A9→0x97AB. 제어토큰 유지.
132,제어,0x97AB,0x97AC,,,17 00,2,fce4d6,한글 재배치 기준 HL=0x97AB→0x97AD. 제어토큰 유지.
133,제어,0x97AD,0x97B2,,,14 00 01 44 55 80,6,fce4d6,한글 재배치 기준 HL=0x97AD→0x97B3. 제어토큰 유지.
134,제어,0x97B3,0x97B5,,,1A 00 04,3,fce4d6,한글 재배치 기준 HL=0x97B3→0x97B6. 제어토큰 유지.
135,제어,0x97B6,0x97B7,,,16 00,2,fce4d6,한글 재배치 기준 HL=0x97B6→0x97B8. 제어토큰 유지.
136,문자,0x97B8,0x97B9,108,이,98 DE,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
137,문자,0x97BA,0x97BB,109,렇,98 31,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
138,문자,0x97BC,0x97BD,110,게,08 20,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
139,문자,0x97BE,0x97BF,111,나,B8 24,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
140,제어,0x97C0,0x97C4,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=0x97C0→0x97C5. 제어토큰 유지.
141,문자,0x97C5,0x97C6,112,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
142,문자,0x97C7,0x97C8,113,강,08 18,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
143,문자,0x97C9,0x97CA,114,할,88 E3,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
144,문자,0x97CB,0x97CC,115,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
145,문자,0x97CD,0x97CE,116,줄,F8 F9,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
146,문자,0x97CF,0x97D0,117,은,48 DE,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
147,문자,0x97D1,0x97D2,118,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
148,문자,0x97D3,0x97D4,119,상,28 3D,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
149,제어,0x97D5,0x97D9,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=0x97D5→0x97DA. 제어토큰 유지.
150,문자,0x97DA,0x97DB,120,상,28 3D,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
151,문자,0x97DC,0x97DD,121,도,28 2E,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
152,제어,0x97DE,0x97E2,,,12 00 23 21 00,5,fce4d6,한글 재배치 기준 HL=0x97DE→0x97E3. 제어토큰 유지.
153,문자,0x97E3,0x97E4,122,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
154,문자,0x97E5,0x97E6,123,못,E8 35,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
155,문자,0x97E7,0x97E8,124,했,C8 E3,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
156,문자,0x97E9,0x97EA,125,어,08 70,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
157,문자,0x97EB,0x97EC,126,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
158,문자,0x97ED,0x97EE,127,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
159,문자,0x97EF,0x97F0,128,・,60 12,2,e2f0d9,PC-88 문장부호 토큰 반영. 일반/발화 변환 대상 아님.
160,제어,0x97F1,0x97F4,,,12 00 21 00,4,fce4d6,한글 재배치 기준 HL=0x97F1→0x97F5. 제어토큰 유지.
161,문자,0x97F5,0x97F6,129,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
162,문자,0x97F7,0x97F8,130,역,68 9F,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
163,문자,0x97F9,0x97FA,131,시,C8 3F,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
164,문자,0x97FB,0x97FC,132,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
165,문자,0x97FD,0x97FE,133,사,E8 3C,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
166,문자,0x97FF,0x9800,134,람,28 31,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
167,문자,0x9801,0x9802,135,은,48 DE,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
168,문자,0x9803,0x9804,136,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
169,문자,0x9805,0x9806,137,겉,08 1E,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
170,문자,0x9807,0x9808,138,모,A8 35,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
171,문자,0x9809,0x980A,139,습,A8 3F,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
172,문자,0x980B,0x980C,140,만,D8 34,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
173,문자,0x980D,0x980E,141,으,38 DE,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
174,문자,0x980F,0x9810,142,로,D8 31,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
175,문자,0x9811,0x9812,143,␠,18 12,2,e2f0d9,전각 공백 토큰 18 12 반영. 일반/발화 변환 대상 아님.
176,문자,0x9813,0x9814,144,알,08 60,2,e2f0d9,"연녹색 일반 문자행: 새 색상 기준으로 같은 glyph base 유지, 첫 바이트 OR 08h 일반 문자 토큰 반영."
