runtime_addr,row,kind,slot,char,row_addr,byte_index_in_row,decoded_old,decoded_new,doc_decoded,disk_offset,raw_old,raw_new,payload_start,decode_key,segment_index,row_fill,speech_applied,generalized
0x96D1,31,제어,,,0x96D0~0x96D2,1,16,00,00,0x1A64E,3C,26,0x1A2A0,0x2B,0x051,fce4d6,False,False
0x96D2,31,제어,,,0x96D0~0x96D2,2,00,03,03,0x1A64D,27,2A,0x1A2A0,0x2B,0x052,fce4d6,False,False
0x96D3,32,제어,,,0x96D3~0x96D4,0,10,16,16,0x1A64C,38,3E,0x1A2A0,0x2B,0x053,fce4d6,False,False
0x96D4,32,제어,,,0x96D3~0x96D4,1,11,00,00,0x1A64B,3A,29,0x1A2A0,0x2B,0x054,fce4d6,False,False
0x96D9,35,제어,,,0x96D9~0x96DA,0,98,10,10,0x1A646,C6,3E,0x1A2A0,0x2B,0x059,fce4d6,False,False
0x96DA,35,제어,,,0x96D9~0x96DA,1,EF,11,11,0x1A645,1E,40,0x1A2A0,0x2B,0x05A,fce4d6,False,False
0x96DB,36,문자,20,기,0x96DB~0x96DC,0,A8,B8,B0,0x1A644,D8,E8,0x1A2A0,0x2B,0x05B,e2f0d9,False,True
0x96DC,36,문자,20,기,0x96DB~0x96DC,1,28,21,21,0x1A643,59,52,0x1A2A0,0x2B,0x05C,e2f0d9,False,True
0x96DD,37,문자,21,분,0x96DD~0x96DE,0,78,18,10,0x1A642,AA,4A,0x1A2A0,0x2B,0x05D,e2f0d9,False,True
0x96DE,37,문자,21,분,0x96DD~0x96DE,1,4B,3C,3C,0x1A641,7E,6F,0x1A2A0,0x2B,0x05E,e2f0d9,False,True
0x96DF,38,문자,22,나,0x96DF~0x96E0,0,48,B8,B0,0x1A640,7C,EC,0x1A2A0,0x2B,0x05F,e2f0d9,False,True
0x96E0,38,문자,22,나,0x96DF~0x96E0,1,6A,24,24,0x1A63F,9F,59,0x1A2A0,0x2B,0x060,e2f0d9,False,True
0x96E1,39,문자,23,쁜,0x96E1~0x96E2,0,12,C8,C0,0x1A63E,48,FE,0x1A2A0,0x2B,0x061,e2f0d9,False,True
0x96E2,39,문자,23,쁜,0x96E1~0x96E2,1,11,3C,3C,0x1A63D,48,73,0x1A2A0,0x2B,0x062,e2f0d9,False,True
0x96E3,40,문자,24,␠,0x96E3~0x96E4,0,23,18,18,0x1A63C,5B,50,0x1A2A0,0x2B,0x063,e2f0d9,False,False
0x96E4,40,문자,24,␠,0x96E3~0x96E4,1,00,12,12,0x1A63B,39,4B,0x1A2A0,0x2B,0x064,e2f0d9,False,False
0x96E5,41,문자,25,날,0x96E5~0x96E6,0,60,D8,D0,0x1A63A,9A,12,0x1A2A0,0x2B,0x065,e2f0d9,False,True
0x96E6,41,문자,25,날,0x96E5~0x96E6,1,12,24,24,0x1A639,4D,5F,0x1A2A0,0x2B,0x066,e2f0d9,False,True
0x96E7,42,문자,26,씨,0x96E7~0x96E8,0,60,08,00,0x1A638,9C,44,0x1A2A0,0x2B,0x067,e2f0d9,False,True
0x96E8,42,문자,26,씨,0x96E7~0x96E8,1,12,50,50,0x1A637,4F,8D,0x1A2A0,0x2B,0x068,e2f0d9,False,True
0x96E9,43,문자,27,야,0x96E9~0x96EA,0,60,08,00,0x1A636,9E,46,0x1A2A0,0x2B,0x069,e2f0d9,False,True
0x96EA,43,문자,27,야,0x96E9~0x96EA,1,12,6C,6C,0x1A635,51,AB,0x1A2A0,0x2B,0x06A,e2f0d9,False,True
0x96ED,44,제어,,,0x96EB~0x96EE,2,21,23,23,0x1A632,63,65,0x1A2A0,0x2B,0x06D,fce4d6,False,False
0x96EF,45,문자,28,・,0x96EF~0x96F0,0,15,60,60,0x1A630,59,A4,0x1A2A0,0x2B,0x06F,e2f0d9,False,False
0x96F0,45,문자,28,・,0x96EF~0x96F0,1,00,12,12,0x1A62F,45,57,0x1A2A0,0x2B,0x070,e2f0d9,False,False
0x96F1,46,문자,29,・,0x96F1~0x96F2,0,D8,60,60,0x1A62E,1E,A6,0x1A2A0,0x2B,0x071,e2f0d9,False,False
0x96F2,46,문자,29,・,0x96F1~0x96F2,1,19,12,12,0x1A62D,60,59,0x1A2A0,0x2B,0x072,e2f0d9,False,False
0x96F3,47,문자,30,・,0x96F3~0x96F4,0,68,60,60,0x1A62C,B0,A8,0x1A2A0,0x2B,0x073,e2f0d9,False,False
0x96F4,47,문자,30,・,0x96F3~0x96F4,1,18,12,12,0x1A62B,61,5B,0x1A2A0,0x2B,0x074,e2f0d9,False,False
0x96F5,48,제어,,,0x96F5~0x96F8,0,08,12,12,0x1A62A,52,5C,0x1A2A0,0x2B,0x075,fce4d6,False,False
0x96F6,48,제어,,,0x96F5~0x96F8,1,B0,11,11,0x1A629,FB,5C,0x1A2A0,0x2B,0x076,fce4d6,False,False
0x96F7,48,제어,,,0x96F5~0x96F8,2,88,21,21,0x1A628,D4,6D,0x1A2A0,0x2B,0x077,fce4d6,False,False
0x96F8,48,제어,,,0x96F5~0x96F8,3,18,00,00,0x1A627,65,4D,0x1A2A0,0x2B,0x078,fce4d6,False,False
0x96F9,49,제어,,,0x96F9~0x96FA,0,08,15,15,0x1A626,56,63,0x1A2A0,0x2B,0x079,fce4d6,False,False
0x96FA,49,제어,,,0x96F9~0x96FA,1,29,00,00,0x1A625,78,4F,0x1A2A0,0x2B,0x07A,fce4d6,False,False
0x96FB,50,문자,31,그,0x96FB~0x96FC,0,12,58,50,0x1A624,62,A8,0x1A2A0,0x2B,0x07B,e2f0d9,False,True
0x96FC,50,문자,31,그,0x96FB~0x96FC,1,11,21,21,0x1A623,62,72,0x1A2A0,0x2B,0x07C,e2f0d9,False,True
0x96FD,51,문자,32,러,0x96FD~0x96FE,0,23,48,40,0x1A622,75,9A,0x1A2A0,0x2B,0x07D,e2f0d9,False,True
0x96FE,51,문자,32,러,0x96FD~0x96FE,1,21,31,31,0x1A621,74,84,0x1A2A0,0x2B,0x07E,e2f0d9,False,True
0x96FF,52,문자,33,고,0x96FF~0x9700,0,00,88,80,0x1A620,54,DC,0x1A2A0,0x2B,0x07F,e2f0d9,False,True
0x9700,52,문자,33,고,0x96FF~0x9700,1,60,20,20,0x1A61F,B5,75,0x1A2A0,0x2B,0x080,e2f0d9,False,True
0x9701,53,문자,34,␠,0x9701~0x9702,0,12,18,18,0x1A61E,68,6E,0x1A2A0,0x2B,0x081,e2f0d9,False,False
0x9702,53,문자,34,␠,0x9701~0x9702,1,60,12,12,0x1A61D,B7,69,0x1A2A0,0x2B,0x082,e2f0d9,False,False
0x9703,54,문자,35,보,0x9703~0x9704,0,12,B8,B0,0x1A61C,6A,10,0x1A2A0,0x2B,0x083,e2f0d9,False,True
0x9704,54,문자,35,보,0x9703~0x9704,1,60,3B,3B,0x1A61B,B9,94,0x1A2A0,0x2B,0x084,e2f0d9,False,True
0x9705,55,문자,36,니,0x9705~0x9706,0,12,F8,F0,0x1A61A,6C,52,0x1A2A0,0x2B,0x085,e2f0d9,False,True
0x9706,55,문자,36,니,0x9705~0x9706,1,28,25,25,0x1A619,83,80,0x1A2A0,0x2B,0x086,e2f0d9,False,True
0x9707,56,제어,,,0x9707~0x970B,0,F5,12,12,0x1A618,51,6E,0x1A2A0,0x2B,0x087,fce4d6,False,False
0x9708,56,제어,,,0x9707~0x970B,1,C8,11,11,0x1A617,25,6E,0x1A2A0,0x2B,0x088,fce4d6,False,False
0x9709,56,제어,,,0x9707~0x970B,2,CD,23,23,0x1A616,2B,81,0x1A2A0,0x2B,0x089,fce4d6,False,False
0x970A,56,제어,,,0x9707~0x970B,3,F8,21,21,0x1A615,57,80,0x1A2A0,0x2B,0x08A,fce4d6,False,False
0x970B,56,제어,,,0x9707~0x970B,4,28,00,00,0x1A614,88,60,0x1A2A0,0x2B,0x08B,fce4d6,False,False
0x970C,57,문자,37,・,0x970C~0x970D,0,28,60,60,0x1A613,89,C1,0x1A2A0,0x2B,0x08C,e2f0d9,False,False
0x970D,57,문자,37,・,0x970C~0x970D,1,18,12,12,0x1A612,7A,74,0x1A2A0,0x2B,0x08D,e2f0d9,False,False
0x970E,58,문자,38,・,0x970E~0x970F,0,E8,60,60,0x1A611,4B,C3,0x1A2A0,0x2B,0x08E,e2f0d9,False,False
0x970F,58,문자,38,・,0x970E~0x970F,1,28,12,12,0x1A610,8C,76,0x1A2A0,0x2B,0x08F,e2f0d9,False,False
0x9710,59,문자,39,・,0x9710~0x9711,0,48,60,60,0x1A60F,AD,C5,0x1A2A0,0x2B,0x090,e2f0d9,False,False
0x9711,59,문자,39,・,0x9710~0x9711,1,59,12,12,0x1A60E,BF,78,0x1A2A0,0x2B,0x091,e2f0d9,False,False
0x9712,60,문자,40,␠,0x9712~0x9713,0,B8,18,18,0x1A60D,1F,7F,0x1A2A0,0x2B,0x092,e2f0d9,False,False
0x9713,60,문자,40,␠,0x9712~0x9713,1,70,12,12,0x1A60C,D8,7A,0x1A2A0,0x2B,0x093,e2f0d9,False,False
0x9714,61,문자,41,어,0x9714~0x9715,0,A8,08,00,0x1A60B,11,71,0x1A2A0,0x2B,0x094,e2f0d9,False,True
0x9715,61,문자,41,어,0x9714~0x9715,1,28,70,70,0x1A60A,92,DA,0x1A2A0,0x2B,0x095,e2f0d9,False,True
0x9716,62,문자,42,제,0x9716~0x9717,0,B8,F8,F0,0x1A609,23,63,0x1A2A0,0x2B,0x096,e2f0d9,False,True
0x9717,62,문자,42,제,0x9716~0x9717,1,18,E3,E3,0x1A608,84,4F,0x1A2A0,0x2B,0x097,e2f0d9,False,True
0x9718,63,문자,43,는,0x9718~0x9719,0,38,E8,E0,0x1A607,A5,55,0x1A2A0,0x2B,0x098,e2f0d9,False,True
0x9719,63,문자,43,는,0x9718~0x9719,1,28,25,25,0x1A606,96,93,0x1A2A0,0x2B,0x099,e2f0d9,False,True
0x971A,64,문자,44,␠,0x971A~0x971B,0,F8,18,18,0x1A605,67,87,0x1A2A0,0x2B,0x09A,e2f0d9,False,False
0x971B,64,문자,44,␠,0x971A~0x971B,1,19,12,12,0x1A604,89,82,0x1A2A0,0x2B,0x09B,e2f0d9,False,False
0x971C,65,문자,45,그,0x971C~0x971D,0,A8,58,50,0x1A603,19,C9,0x1A2A0,0x2B,0x09C,e2f0d9,False,True
0x971D,65,문자,45,그,0x971C~0x971D,1,28,21,21,0x1A602,9A,93,0x1A2A0,0x2B,0x09D,e2f0d9,False,True
0x971E,66,문자,46,␠,0x971E~0x971F,0,12,18,18,0x1A601,85,8B,0x1A2A0,0x2B,0x09E,e2f0d9,False,False
0x971F,66,문자,46,␠,0x971E~0x971F,1,11,12,12,0x1A600,85,86,0x1A2A0,0x2B,0x09F,e2f0d9,False,False
0x9720,67,문자,47,꿈,0x9720~0x9721,0,23,68,60,0x1A5FF,98,DD,0x1A2A0,0x2B,0x0A0,e2f0d9,False,True
0x9721,67,문자,47,꿈,0x9720~0x9721,1,00,24,24,0x1A5FE,76,9A,0x1A2A0,0x2B,0x0A1,e2f0d9,False,True
0x9722,68,문자,48,을,0x9722~0x9723,0,60,58,50,0x1A5FD,D7,CF,0x1A2A0,0x2B,0x0A2,e2f0d9,False,True
0x9723,68,문자,48,을,0x9722~0x9723,1,12,DE,DE,0x1A5FC,8A,56,0x1A2A0,0x2B,0x0A3,e2f0d9,False,True
0x9724,69,문자,49,␠,0x9724~0x9725,0,60,18,18,0x1A5FB,D9,91,0x1A2A0,0x2B,0x0A4,e2f0d9,False,False
0x9726,70,문자,50,꾸,0x9726~0x9727,0,60,58,50,0x1A5F9,DB,D3,0x1A2A0,0x2B,0x0A6,e2f0d9,False,True
0x9727,70,문자,50,꾸,0x9726~0x9727,1,12,24,24,0x1A5F8,8E,A0,0x1A2A0,0x2B,0x0A7,e2f0d9,False,True
0x9728,71,문자,51,지,0x9728~0x9729,0,19,18,10,0x1A5F7,96,95,0x1A2A0,0x2B,0x0A8,e2f0d9,False,True
0x9729,71,문자,51,지,0x9728~0x9729,1,00,E0,E0,0x1A5F6,7E,5E,0x1A2A0,0x2B,0x0A9,e2f0d9,False,True
0x972A,72,문자,52,␠,0x972A~0x972B,0,72,18,18,0x1A5F5,F1,97,0x1A2A0,0x2B,0x0AA,e2f0d9,False,False
0x972B,72,문자,52,␠,0x972A~0x972B,1,17,12,12,0x1A5F4,97,92,0x1A2A0,0x2B,0x0AB,e2f0d9,False,False
0x972C,73,문자,53,않,0x972C~0x972D,0,00,08,00,0x1A5F3,81,89,0x1A2A0,0x2B,0x0AC,e2f0d9,False,True
0x972D,73,문자,53,않,0x972C~0x972D,1,15,5E,5E,0x1A5F2,97,E0,0x1A2A0,0x2B,0x0AD,e2f0d9,False,True
0x972E,74,문자,54,았,0x972E~0x972F,0,00,08,00,0x1A5F1,83,8B,0x1A2A0,0x2B,0x0AE,e2f0d9,False,True
0x972F,74,문자,54,았,0x972E~0x972F,1,14,66,66,0x1A5F0,98,EA,0x1A2A0,0x2B,0x0AF,e2f0d9,False,True
0x9730,75,문자,55,네,0x9730~0x9731,0,00,98,90,0x1A5EF,85,1D,0x1A2A0,0x2B,0x0B0,e2f0d9,False,True
0x9731,75,문자,55,네,0x9730~0x9731,1,01,25,25,0x1A5EE,87,AB,0x1A2A0,0x2B,0x0B1,e2f0d9,False,True
0x9732,76,제어,,,0x9732~0x9735,0,55,12,12,0x1A5ED,DC,99,0x1A2A0,0x2B,0x0B2,fce4d6,False,False
0x9733,76,제어,,,0x9732~0x9735,1,33,11,11,0x1A5EC,BB,99,0x1A2A0,0x2B,0x0B3,fce4d6,False,False
0x9734,76,제어,,,0x9732~0x9735,2,80,23,23,0x1A5EB,09,AC,0x1A2A0,0x2B,0x0B4,fce4d6,False,False
0x9735,76,제어,,,0x9732~0x9735,3,1A,00,00,0x1A5EA,A4,8A,0x1A2A0,0x2B,0x0B5,fce4d6,False,False
0x9736,77,문자,56,・,0x9736~0x9737,0,00,60,60,0x1A5E9,8B,EB,0x1A2A0,0x2B,0x0B6,e2f0d9,False,False
0x9737,77,문자,56,・,0x9736~0x9737,1,04,12,12,0x1A5E8,90,9E,0x1A2A0,0x2B,0x0B7,e2f0d9,False,False
0x9738,78,문자,57,・,0x9738~0x9739,0,12,60,60,0x1A5E7,9F,ED,0x1A2A0,0x2B,0x0B8,e2f0d9,False,False
0x9739,78,문자,57,・,0x9738~0x9739,1,11,12,12,0x1A5E6,9F,A0,0x1A2A0,0x2B,0x0B9,e2f0d9,False,False
0x973A,79,문자,58,・,0x973A~0x973B,0,30,60,60,0x1A5E5,BF,EF,0x1A2A0,0x2B,0x0BA,e2f0d9,False,False
0x973B,79,문자,58,・,0x973A~0x973B,1,16,12,12,0x1A5E4,A6,A2,0x1A2A0,0x2B,0x0BB,e2f0d9,False,False
0x973C,80,제어,,,0x973C~0x973E,0,00,19,19,0x1A5E3,91,AA,0x1A2A0,0x2B,0x0BC,fce4d6,False,False
0x973D,80,제어,,,0x973C~0x973E,1,38,00,00,0x1A5E2,CA,92,0x1A2A0,0x2B,0x0BD,fce4d6,False,False
0x973E,80,제어,,,0x973C~0x973E,2,E3,72,72,0x1A5E1,76,05,0x1A2A0,0x2B,0x0BE,fce4d6,False,False
0x973F,81,제어,,,0x973F~0x9740,0,F8,17,17,0x1A5E0,8C,AB,0x1A2A0,0x2B,0x0BF,fce4d6,False,False
0x9740,81,제어,,,0x973F~0x9740,1,18,00,00,0x1A5DF,AD,95,0x1A2A0,0x2B,0x0C0,fce4d6,False,False
0x9741,82,제어,,,0x9741~0x9742,0,B8,15,15,0x1A5DE,4E,AB,0x1A2A0,0x2B,0x0C1,fce4d6,False,False
0x9742,82,제어,,,0x9741~0x9742,1,18,00,00,0x1A5DD,AF,97,0x1A2A0,0x2B,0x0C2,fce4d6,False,False
0x9743,83,제어,,,0x9743~0x9748,0,98,14,14,0x1A5DC,30,AC,0x1A2A0,0x2B,0x0C3,fce4d6,False,False
0x9744,83,제어,,,0x9743~0x9748,1,38,00,00,0x1A5DB,D1,99,0x1A2A0,0x2B,0x0C4,fce4d6,False,False
0x9745,83,제어,,,0x9743~0x9748,2,F8,01,01,0x1A5DA,92,9B,0x1A2A0,0x2B,0x0C5,fce4d6,False,False
0x9746,83,제어,,,0x9743~0x9748,3,46,55,55,0x1A5D9,E1,F0,0x1A2A0,0x2B,0x0C6,fce4d6,False,False
0x9747,83,제어,,,0x9743~0x9748,4,B8,33,33,0x1A5D8,54,CF,0x1A2A0,0x2B,0x0C7,fce4d6,False,False
0x9748,83,제어,,,0x9743~0x9748,5,18,80,80,0x1A5D7,B5,1D,0x1A2A0,0x2B,0x0C8,fce4d6,False,False
0x9749,84,제어,,,0x9749~0x974B,0,B8,1A,1A,0x1A5D6,56,B8,0x1A2A0,0x2B,0x0C9,fce4d6,False,False
0x974A,84,제어,,,0x9749~0x974B,1,28,00,00,0x1A5D5,C7,9F,0x1A2A0,0x2B,0x0CA,fce4d6,False,False
0x974B,84,제어,,,0x9749~0x974B,2,68,04,04,0x1A5D4,08,A4,0x1A2A0,0x2B,0x0CB,fce4d6,False,False
0x974C,85,제어,,,0x974C~0x974E,0,B0,12,12,0x1A5D3,51,B3,0x1A2A0,0x2B,0x0CC,fce4d6,False,False
0x974D,85,제어,,,0x974C~0x974E,1,08,11,11,0x1A5D2,AA,B3,0x1A2A0,0x2B,0x0CD,fce4d6,False,False
0x974E,85,제어,,,0x974C~0x974E,2,29,30,30,0x1A5D1,CC,D3,0x1A2A0,0x2B,0x0CE,fce4d6,False,False
0x974F,86,제어,,,0x974F~0x9750,0,C8,16,16,0x1A5D0,6C,BA,0x1A2A0,0x2B,0x0CF,fce4d6,False,False
0x9750,86,제어,,,0x974F~0x9750,1,38,00,00,0x1A5CF,DD,A5,0x1A2A0,0x2B,0x0D0,fce4d6,False,False
0x9751,87,문자,59,멀,0x9751~0x9752,0,B8,58,50,0x1A5CE,5E,FE,0x1A2A0,0x2B,0x0D1,e2f0d9,False,True
0x9752,87,문자,59,멀,0x9751~0x9752,1,38,35,35,0x1A5CD,DF,DC,0x1A2A0,0x2B,0x0D2,e2f0d9,False,True
0x9753,88,문자,60,리,0x9753~0x9754,0,48,78,70,0x1A5CC,F0,20,0x1A2A0,0x2B,0x0D3,e2f0d9,False,True
0x9754,88,문자,60,리,0x9753~0x9754,1,59,34,34,0x1A5CB,02,DD,0x1A2A0,0x2B,0x0D4,e2f0d9,False,True
0x9755,89,문자,61,서,0x9755~0x9756,0,38,58,50,0x1A5CA,E2,02,0x1A2A0,0x2B,0x0D5,e2f0d9,False,True
0x9756,89,문자,61,서,0x9755~0x9756,1,28,3D,3D,0x1A5C9,D3,E8,0x1A2A0,0x2B,0x0D6,e2f0d9,False,True
0x9757,90,문자,62,␠,0x9757~0x9758,0,68,18,18,0x1A5C8,14,C4,0x1A2A0,0x2B,0x0D7,e2f0d9,False,False
0x9758,90,문자,62,␠,0x9757~0x9758,1,28,12,12,0x1A5C7,D5,BF,0x1A2A0,0x2B,0x0D8,e2f0d9,False,False
0x9759,91,문자,63,누,0x9759~0x975A,0,60,C8,C0,0x1A5C6,0E,76,0x1A2A0,0x2B,0x0D9,e2f0d9,False,True
0x975A,91,문자,63,누,0x9759~0x975A,1,12,25,25,0x1A5C5,C1,D4,0x1A2A0,0x2B,0x0DA,e2f0d9,False,True
0x975B,92,문자,64,군,0x975B~0x975C,0,60,28,20,0x1A5C4,10,D8,0x1A2A0,0x2B,0x0DB,e2f0d9,False,True
0x975C,92,문자,64,군,0x975B~0x975C,1,12,21,21,0x1A5C3,C3,D2,0x1A2A0,0x2B,0x0DC,e2f0d9,False,True
0x975D,93,문자,65,가,0x975D~0x975E,0,60,A8,A0,0x1A5C2,12,5A,0x1A2A0,0x2B,0x0DD,e2f0d9,False,True
0x975E,93,문자,65,가,0x975D~0x975E,1,12,17,17,0x1A5C1,C5,CA,0x1A2A0,0x2B,0x0DE,e2f0d9,False,True
0x975F,94,문자,66,␠,0x975F~0x9760,0,F8,18,18,0x1A5C0,AC,CC,0x1A2A0,0x2B,0x0DF,e2f0d9,False,False
0x9760,94,문자,66,␠,0x975F~0x9760,1,65,12,12,0x1A5BF,1A,C7,0x1A2A0,0x2B,0x0E0,e2f0d9,False,False
0x9761,95,문자,67,날,0x9761~0x9762,0,E8,D8,D0,0x1A5BE,9E,8E,0x1A2A0,0x2B,0x0E1,e2f0d9,False,True
0x9762,95,문자,67,날,0x9761~0x9762,1,28,24,24,0x1A5BD,DF,DB,0x1A2A0,0x2B,0x0E2,e2f0d9,False,True
0x9763,96,문자,68,␠,0x9763~0x9764,0,D8,18,18,0x1A5BC,90,D0,0x1A2A0,0x2B,0x0E3,e2f0d9,False,False
0x9764,96,문자,68,␠,0x9763~0x9764,1,BD,12,12,0x1A5BB,76,CB,0x1A2A0,0x2B,0x0E4,e2f0d9,False,False
0x9765,97,문자,69,부,0x9765~0x9766,0,78,08,00,0x1A5BA,32,C2,0x1A2A0,0x2B,0x0E5,e2f0d9,False,True
0x9766,97,문자,69,부,0x9765~0x9766,1,48,3C,3C,0x1A5B9,03,F7,0x1A2A0,0x2B,0x0E6,e2f0d9,False,True
0x9767,98,문자,70,르,0x9767~0x9768,0,A8,38,30,0x1A5B8,64,F4,0x1A2A0,0x2B,0x0E7,e2f0d9,False,True
